psnr,ssim,subject
41.396633967166785,0.9942013968616473,Center001_UIH_30T_umr780_P009_T2map
43.565969002233906,0.9913533996937328,Center001_UIH_30T_umr780_P009_T2w
42.884392643085306,0.9932754419337395,Center001_UIH_30T_umr780_P009_cine_lax_3ch
43.35270505986221,0.9943127144293072,Center001_UIH_30T_umr780_P009_cine_lax_4ch
35.98169948889738,0.9829824801142386,Center001_UIH_30T_umr780_P009_lge_lax_2ch
40.93492149354641,0.9881429625940523,Center001_UIH_30T_umr780_P009_lge_lax_4ch
40.316037392056444,0.9902767848951213,Center001_UIH_30T_umr780_P009_perfusion
41.68549614652023,0.9918697407163021,Center001_UIH_30T_umr780_P010_T1map
40.56111209365953,0.9907038609632141,Center001_UIH_30T_umr780_P010_T1mappost
46.957330804077316,0.9962446325034876,Center001_UIH_30T_umr780_P010_T2w
47.80208326750898,0.9986020570996467,Center001_UIH_30T_umr780_P010_cine_sax
40.832016205753746,0.9934753827832815,Center001_UIH_30T_umr780_P010_lge_lax_2ch
44.33082669807091,0.9928067640168783,Center001_UIH_30T_umr780_P010_lge_lax_4ch
42.373884678801915,0.9957935525240229,Center001_UIH_30T_umr780_P010_perfusion
40.426544464054075,0.9930437341527001,Center001_UIH_30T_umr780_P011_T1map
42.96134310080318,0.9923150845067359,Center001_UIH_30T_umr780_P011_T1mappost
44.92306896762297,0.9955530513784836,Center001_UIH_30T_umr780_P011_T1rho
44.813667802751944,0.9968315671832758,Center001_UIH_30T_umr780_P011_T2map
41.013859916462586,0.9939200206852477,Center001_UIH_30T_umr780_P011_T2smap
42.62075026007457,0.9935734194536567,Center001_UIH_30T_umr780_P011_T2w
41.0350120742444,0.9933039406441795,Center001_UIH_30T_umr780_P011_cine_lax_3ch
46.27951250691132,0.9960637081716887,Center001_UIH_30T_umr780_P011_cine_lax_4ch
45.922909318106434,0.9982878293116803,Center001_UIH_30T_umr780_P011_cine_sax
40.85951350034681,0.9894748401438465,Center001_UIH_30T_umr780_P011_lge_lax_4ch
43.64748066205169,0.993342083953531,Center001_UIH_30T_umr780_P011_perfusion
45.37916422443471,0.9956358205762054,Center001_UIH_30T_umr780_P013_T1map
45.59233644173493,0.9958004666486274,Center001_UIH_30T_umr780_P013_T1rho
39.55687767820495,0.9873614680730171,Center001_UIH_30T_umr780_P013_cine_lax_4ch
48.728170991708815,0.9983143786211751,Center001_UIH_30T_umr780_P013_cine_sax
